"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000","10.215.173.1","10.215.173.2","DNS","116","Standard query 0x94ef A android.googleapis.com"
"2","0.056350","10.215.173.1","47.241.35.73","TCP","108","56070  >  5222 [SYN] Seq=0 Win=65535 Len=0 MSS=1460 SACK_PERM TSval=543373729 TSecr=0 WS=256"
"3","0.059521","10.215.173.1","10.215.173.2","DNS","120","Standard query 0x75da A sdkconfig.ad.intl.xiaomi.com"
"4","0.589781","10.215.173.2","10.215.173.1","DNS","200","Standard query response 0x75da A sdkconfig.ad.intl.xiaomi.com A 47.241.96.168 A 47.241.56.110 A 8.214.67.234 A 8.214.77.212 A 47.241.254.21"
"5","0.590680","10.215.173.2","10.215.173.1","DNS","132","Standard query response 0x94ef A android.googleapis.com A 142.250.74.202"
"6","0.594881","10.215.173.1","47.241.96.168","TCP","108","36126  >  443 [SYN] Seq=0 Win=65535 Len=0 MSS=1460 SACK_PERM TSval=3188842627 TSecr=0 WS=256"
"7","0.596649","10.215.173.1","47.241.96.168","TCP","108","36128  >  443 [SYN] Seq=0 Win=65535 Len=0 MSS=1460 SACK_PERM TSval=3188842628 TSecr=0 WS=256"
"8","0.602132","10.215.173.1","142.250.74.202","TCP","108","49492  >  443 [SYN] Seq=0 Win=65535 Len=0 MSS=1460 SACK_PERM TSval=3937331955 TSecr=0 WS=256"
"9","0.733650","142.250.74.202","10.215.173.1","TCP","96","443  >  49492 [SYN, ACK] Seq=0 Ack=1 Win=750 Len=0 MSS=1460 WS=256"
"10","0.733779","10.215.173.1","142.250.74.202","TCP","88","49492  >  443 [ACK] Seq=1 Ack=1 Win=87808 Len=0"
"11","0.738036","10.215.173.1","142.250.74.202","TCP","464","49492  >  443 [ACK] Seq=1 Ack=1 Win=87808 Len=375 [TCP segment of a reassembled PDU]"
"12","0.738111","142.250.74.202","10.215.173.1","TCP","88","443  >  49492 [ACK] Seq=1 Ack=376 Win=191744 Len=0"
"13","0.738159","10.215.173.1","142.250.74.202","TLSv1.3","256","Client Hello"
"14","0.738242","142.250.74.202","10.215.173.1","TCP","88","443  >  49492 [ACK] Seq=1 Ack=546 Win=191488 Len=0"
"15","0.831591","142.250.74.202","10.215.173.1","TLSv1.3","296","Server Hello, Change Cipher Spec, Application Data"
"16","0.831746","10.215.173.1","142.250.74.202","TCP","88","49492  >  443 [ACK] Seq=546 Ack=208 Win=88576 Len=0"
"17","0.833226","10.215.173.1","142.250.74.202","TLSv1.3","288","Change Cipher Spec, Application Data"
"18","0.833289","142.250.74.202","10.215.173.1","TCP","88","443  >  49492 [ACK] Seq=208 Ack=746 Win=192000 Len=0"
"19","0.836204","10.215.173.1","142.250.74.202","TLSv1.3","396","Application Data"
"20","0.836228","142.250.74.202","10.215.173.1","TCP","88","443  >  49492 [ACK] Seq=208 Ack=1055 Win=191488 Len=0"
"21","0.836429","10.215.173.1","142.250.74.202","TCP","1548","49492  >  443 [ACK] Seq=1055 Ack=208 Win=88576 Len=1460 [TCP segment of a reassembled PDU]"
"22","0.836537","142.250.74.202","10.215.173.1","TCP","88","443  >  49492 [ACK] Seq=208 Ack=2515 Win=190208 Len=0"
"23","0.836577","10.215.173.1","142.250.74.202","TCP","1548","49492  >  443 [ACK] Seq=2515 Ack=208 Win=88576 Len=1460 [TCP segment of a reassembled PDU]"
"24","0.836606","142.250.74.202","10.215.173.1","TCP","88","443  >  49492 [ACK] Seq=208 Ack=3975 Win=188672 Len=0"
"25","0.836622","10.215.173.1","142.250.74.202","TCP","1548","49492  >  443 [ACK] Seq=3975 Ack=208 Win=88576 Len=1460 [TCP segment of a reassembled PDU]"
"26","0.836639","142.250.74.202","10.215.173.1","TCP","88","443  >  49492 [ACK] Seq=208 Ack=5435 Win=187136 Len=0"
"27","0.836651","10.215.173.1","142.250.74.202","TCP","1548","49492  >  443 [ACK] Seq=5435 Ack=208 Win=88576 Len=1460 [TCP segment of a reassembled PDU]"
"28","0.836669","142.250.74.202","10.215.173.1","TCP","88","443  >  49492 [ACK] Seq=208 Ack=6895 Win=185856 Len=0"
